,strain,plasmid,backbone,iptg,rrpu
0,KT2440,1201,pSeva221,1,0.026556306435724385
1,KT2440,1201,pSeva221,5,0.0047340863283839955
2,KT2440,1201,pSeva221,10,0.006434453642537702
3,KT2440,1201,pSeva221,20,0.016593329889786894
4,KT2440,1201,pSeva221,30,0.0
5,KT2440,1201,pSeva221,40,0.001603031875044659
6,KT2440,1201,pSeva221,70,0.0018937168832012347
7,KT2440,1201,pSeva221,100,0.011215732607089551
8,KT2440,1201,pSeva221,200,0.008847647249633495
9,KT2440,1201,pSeva221,500,0.026455517745942292
10,KT2440,1201,pSeva221,1000,0.0029094308173756955
11,KT2440,1201,pSeva221,2000,0.05127843815409699
12,KT2440,1717,pSeva221,1,1.5738699010273456
13,KT2440,1717,pSeva221,5,1.088872647988229
14,KT2440,1717,pSeva221,10,1.1133924036012266
15,KT2440,1717,pSeva221,20,1.0643024532452108
16,KT2440,1717,pSeva221,30,0.9746633718796972
17,KT2440,1717,pSeva221,40,0.9485300861275052
18,KT2440,1717,pSeva221,70,0.916838620530065
19,KT2440,1717,pSeva221,100,0.9595400314687258
20,KT2440,1717,pSeva221,200,0.855300042308396
21,KT2440,1717,pSeva221,500,0.8544942039494873
22,KT2440,1717,pSeva221,1000,1.0044196640800065
23,KT2440,1717,pSeva221,2000,0.8102032992177074
24,KT2440,1818,pSeva221,1,0.012068660906112257
25,KT2440,1818,pSeva221,5,0.0071792885277472875
26,KT2440,1818,pSeva221,10,0.004002031649820519
27,KT2440,1818,pSeva221,20,0.010694569605754394
28,KT2440,1818,pSeva221,30,0.004343534907135418
29,KT2440,1818,pSeva221,40,0.0031380185190169
30,KT2440,1818,pSeva221,70,0.009940412412961057
31,KT2440,1818,pSeva221,100,0.022646480704423027
32,KT2440,1818,pSeva221,200,0.0774787140934875
33,KT2440,1818,pSeva221,500,0.2877475549299505
34,KT2440,1818,pSeva221,1000,0.5331507717590943
35,KT2440,1818,pSeva221,2000,0.8079083443919365
36,KT2440,Amer_f1,pSeva221,1,14.417136780534294
37,KT2440,Amer_f1,pSeva221,5,12.858482622347513
38,KT2440,Amer_f1,pSeva221,10,12.66918077797348
39,KT2440,Amer_f1,pSeva221,20,12.283001099691155
40,KT2440,Amer_f1,pSeva221,30,11.430842671842964
41,KT2440,Amer_f1,pSeva221,40,11.536011857491891
42,KT2440,Amer_f1,pSeva221,70,11.337949022930506
43,KT2440,Amer_f1,pSeva221,100,11.590555956826375
44,KT2440,Amer_f1,pSeva221,200,10.497044892094411
45,KT2440,Amer_f1,pSeva221,500,10.041325619186583
46,KT2440,Amer_f1,pSeva221,1000,10.348461421492702
47,KT2440,Amer_f1,pSeva221,2000,9.410768617920647
48,KT2440,Amtr_a1,pSeva221,1,1.6710354954217086
49,KT2440,Amtr_a1,pSeva221,5,1.5409495848209054
50,KT2440,Amtr_a1,pSeva221,10,1.6276118858581297
51,KT2440,Amtr_a1,pSeva221,20,1.4357391205231782
52,KT2440,Amtr_a1,pSeva221,30,1.4007884156593169
53,KT2440,Amtr_a1,pSeva221,40,1.3277548486722763
54,KT2440,Amtr_a1,pSeva221,70,1.3039603414930567
55,KT2440,Amtr_a1,pSeva221,100,1.1895866354360536
56,KT2440,Amtr_a1,pSeva221,200,1.0386241583923863
57,KT2440,Amtr_a1,pSeva221,500,0.7351319233145129
58,KT2440,Amtr_a1,pSeva221,1000,0.4833627702903678
59,KT2440,Amtr_a1,pSeva221,2000,0.3044858540579288
60,KT2440,Beti_e1,pSeva221,1,3.3940497740803997
61,KT2440,Beti_e1,pSeva221,5,3.0525465050887703
62,KT2440,Beti_e1,pSeva221,10,3.071060497008593
63,KT2440,Beti_e1,pSeva221,20,2.9815283004750524
64,KT2440,Beti_e1,pSeva221,30,2.9577170884338124
65,KT2440,Beti_e1,pSeva221,40,2.9223614995700875
66,KT2440,Beti_e1,pSeva221,70,2.8804979010516867
67,KT2440,Beti_e1,pSeva221,100,2.802735233785879
68,KT2440,Beti_e1,pSeva221,200,2.7127304314917184
69,KT2440,Beti_e1,pSeva221,500,2.47823969651106
70,KT2440,Beti_e1,pSeva221,1000,2.294963930422602
71,KT2440,Beti_e1,pSeva221,2000,2.0781130595213124
72,KT2440,Bm3r1_b1,pSeva221,1,1.3317095701979964
73,KT2440,Bm3r1_b1,pSeva221,5,1.3302491317733738
74,KT2440,Bm3r1_b1,pSeva221,10,1.3540566083592491
75,KT2440,Bm3r1_b1,pSeva221,20,1.3300124782519112
76,KT2440,Bm3r1_b1,pSeva221,30,1.279271485719963
77,KT2440,Bm3r1_b1,pSeva221,40,1.2823614046729717
78,KT2440,Bm3r1_b1,pSeva221,70,1.2943841168636407
