,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,volume_decomposed_log_mean_gfp,rrpu
0,KT2440,1201,pSeva221,0,0.312859869617944,2.535852082432148,0.4410651591154824,0.765283912134984,0.2702253167386567,0.9826101209658912,0.4246562612439811,0.3271641254542861,0.013461804053428852
1,KT2440,1201,pSeva221,5,0.09205798147841636,2.202856307613416,0.4428066235592055,0.7821180266752016,0.3133458051112451,0.9899947938231436,0.4205064802464992,0.16742696473281188,-0.00782318929481652
2,KT2440,1201,pSeva221,10,0.1544428163365041,2.431886329696721,0.4423036803725075,0.7552533498343056,0.2571943744611846,0.985154816164582,0.4274244482032384,0.18393640089085125,-0.005777490931826016
3,KT2440,1201,pSeva221,20,0.2380882396870097,2.511277374678715,0.467200422136098,0.8002274585179208,0.34889426361784304,0.9886829584141348,0.437842526521018,0.26180268160965425,0.004339631203922059
4,KT2440,1201,pSeva221,30,0.10105134585617433,2.4351000599233266,0.4415934950527712,0.7600463727697153,0.2514636160608389,0.9832342690806858,0.4274036617999672,0.12919036747204318,-0.01243341477867703
5,KT2440,1201,pSeva221,40,0.10821505535342088,2.38745308600045,0.4405642766712041,0.7511427677127536,0.25429247802795296,0.9858183492961166,0.4260817669821285,0.1440473155196005,-0.01066300725401894
6,KT2440,1201,pSeva221,70,0.122999576378139,2.4717921692889284,0.4393864304514752,0.7548659109454453,0.2395274730858164,0.9840574394218308,0.4265957098795077,0.14473629836877785,-0.010580265671375868
7,KT2440,1201,pSeva221,100,0.21590548514686594,2.614800191610039,0.43874104566361855,0.7777079366578555,0.2521971759461446,0.9826287161613556,0.4245591219483895,0.21774051119476692,-0.0014819282551710407
8,KT2440,1201,pSeva221,200,0.20366078847989705,2.6160810676373583,0.4990196241066875,0.7627036712049617,0.3365131537111368,0.9819196076695476,0.469916183585292,0.2062184851018337,-0.0029623982912280362
9,KT2440,1201,pSeva221,500,0.3276696601367613,2.5937616243243595,0.4625599020887342,0.7824433482487422,0.2812004172916639,0.988022552264188,0.4438951769096012,0.333311157053679,0.014350786843748102
10,KT2440,1201,pSeva221,1000,0.15248382203458338,2.638667604923234,0.43998139956219096,0.7748236591753925,0.2669479101264497,0.9824884941612729,0.4240148966928481,0.15082096241115447,-0.00984706381356277
11,KT2440,1201,pSeva221,2000,0.5046555834079423,2.7563050470736883,0.4677445572046404,0.7927671590211147,0.28125246260288905,0.982919456389638,0.4488634922644516,0.4833140923978465,0.03782773316927285
12,KT2440,1717,pSeva221,0,2.788844735301577,2.6032955762888075,0.5314747358644021,0.6880489085919228,0.5217270281185176,0.9807168267797808,0.4534077314031341,2.798678880866046,1.576380766172044
13,KT2440,1717,pSeva221,5,2.365090741971105,2.3831598840279486,0.5803836481276478,0.7368489405387246,0.44788528674265465,0.98590386886021,0.5189158137473306,2.4513587489574054,1.0754834694244315
14,KT2440,1717,pSeva221,10,2.442696547843461,2.51434436386692,0.5647131015807492,0.6879257678675749,0.43016926686012186,0.9836018168699102,0.5097937638822371,2.482724233420371,1.1139160146796243
15,KT2440,1717,pSeva221,20,2.4315936249251666,2.5843370848458656,0.5510286813629728,0.7026889613183295,0.4655196509511245,0.985372534533148,0.4876810709169454,2.4474223469991605,1.070744724225017
16,KT2440,1717,pSeva221,30,2.3208703923622336,2.502498838129458,0.5602963389933081,0.6960495197739587,0.43002388887450055,0.982699471724515,0.5058453452083806,2.364208612309544,0.9748135995008246
17,KT2440,1717,pSeva221,40,2.31232182314996,2.561649501208177,0.5721144118606544,0.7434276935613369,0.4083475482912629,0.980165274139778,0.5222412152009049,2.3330774548058386,0.9409274397266993
18,KT2440,1717,pSeva221,70,2.26582883662846,2.502000466648004,0.5463340099382792,0.6962993715401227,0.4509026322929958,0.983062167252484,0.4876430645578519,2.3102992514526366,0.9167932827082456
19,KT2440,1717,pSeva221,100,2.3414405158558407,2.614810172571398,0.5534235285216333,0.7319887656663704,0.4358784420090737,0.9798029637339084,0.4980842452518193,2.345687617545105,0.9545265762661347
